iter	Passed	Remaining
719	2336	908
720	2339	905
721	2343	902
722	2346	898
723	2348	895
724	2352	892
725	2355	888
726	2358	885
727	2362	882
728	2365	879
729	2368	876
730	2372	872
731	2375	869
732	2378	866
733	2381	863
734	2384	859
735	2389	857
736	2392	853
737	2396	850
738	2399	847
739	2403	844
740	2406	841
741	2409	837
742	2413	834
743	2416	831
744	2420	828
745	2423	825
746	2427	822
747	2430	818
748	2434	815
749	2437	812
750	2440	809
751	2444	806
752	2448	803
753	2451	799
754	2455	796
755	2458	793
756	2461	790
757	2464	786
758	2468	783
759	2471	780
760	2474	777
761	2479	774
762	2482	771
763	2485	767
764	2488	764
765	2492	761
766	2495	758
767	2498	754
768	2502	751
769	2505	748
770	2509	745
771	2512	742
772	2516	739
773	2519	735
774	2523	732
775	2526	729
776	2529	725
777	2532	722
778	2536	719
779	2539	716
780	2542	712
781	2545	709
782	2548	706
783	2552	703
784	2555	699
785	2558	696
786	2562	693
787	2565	690
788	2568	686
789	2572	683
790	2574	680
791	2577	677
792	2580	673
793	2583	670
794	2586	666
795	2589	663
796	2593	660
797	2596	657
798	2599	653
799	2602	650
800	2606	647
801	2608	644
802	2611	640
803	2614	637
804	2617	634
805	2620	630
806	2623	627
807	2626	624
808	2629	620
809	2633	617
810	2636	614
811	2638	610
812	2642	607
813	2645	604
814	2648	601
815	2651	597
816	2655	594
817	2658	591
818	2662	588
819	2665	585
820	2668	581
821	2672	578
822	2675	575
823	2679	572
824	2682	568
825	2685	565
826	2688	562
827	2692	559
828	2696	556
829	2699	552
830	2702	549
831	2706	546
832	2709	543
833	2712	539
834	2715	536
835	2719	533
836	2723	530
837	2727	527
838	2730	523
839	2734	520
840	2737	517
841	2741	514
842	2744	511
843	2748	508
844	2752	504
845	2756	501
846	2759	498
847	2763	495
848	2766	492
849	2769	488
850	2772	485
851	2775	482
852	2779	479
853	2783	475
854	2786	472
855	2789	469
856	2793	466
857	2796	462
858	2799	459
859	2802	456
860	2806	453
861	2809	449
862	2813	446
863	2816	443
864	2819	440
865	2823	436
866	2826	433
867	2829	430
868	2832	426
869	2835	423
870	2838	420
871	2841	417
872	2844	413
873	2847	410
874	2850	407
875	2854	403
876	2856	400
877	2859	397
878	2862	394
879	2865	390
880	2868	387
881	2871	384
882	2874	380
883	2877	377
884	2880	374
885	2884	371
886	2887	367
887	2890	364
888	2893	361
889	2896	358
890	2900	354
891	2903	351
892	2907	348
893	2910	345
894	2913	341
895	2916	338
896	2920	335
897	2924	332
898	2927	328
899	2930	325
900	2934	322
901	2937	319
902	2941	315
903	2944	312
904	2947	309
905	2950	306
906	2953	302
907	2956	299
908	2959	296
909	2962	292
910	2965	289
911	2968	286
912	2971	283
913	2974	279
914	2977	276
915	2981	273
916	2984	270
917	2987	266
918	2990	263
919	2993	260
920	2996	257
921	2999	253
922	3003	250
923	3006	247
924	3009	244
925	3012	240
926	3015	237
927	3019	234
928	3022	230
929	3025	227
930	3027	224
931	3031	221
932	3034	217
933	3038	214
934	3041	211
935	3044	208
936	3047	204
937	3051	201
938	3054	198
939	3058	195
940	3062	191
941	3065	188
942	3068	185
943	3072	182
944	3075	178
945	3079	175
946	3082	172
947	3085	169
948	3088	165
949	3092	162
